0.84805		0.53486		0.02368
0.81915		0.52548		0.02343
0.70711		0.46897		0.01523
0.68200		0.47038		0.01549
0.52992		0.47182		0.02413
0.51504		0.46795		0.02324
0.24192		0.51204		0.02307
0.20791		0.49466		0.02252
0.01745		0.51236		0.01613
-0.01745	0.50681		0.01599
-0.20791	0.50604		0.02288
-0.24192	0.49193		0.02253
-0.51504	0.42884		0.02104
-0.52992	0.45997		0.02207
-0.68200	0.45670		0.01542
-0.70711	0.46927		0.01590
-0.81915	0.49983		0.02309
-0.84805	0.52332		0.02362
-0.94552	0.63540		0.02583
-0.97437	0.67563		0.02040
-1.00000	0.68074		0.02668
